Laser id,Elevation,Azimuth
1,14.801,-1.042
2,10.951,-1.042
3,7.978,-1.042
4,4.976,-1.042
5,2.959,-1.042
6,1.947,-1.042
7,1.607,3.125
8,1.27,-5.208
9,0.932,-1.042
10,0.594,3.125
11,0.256,-5.208
12,-0.081,-1.042
13,-0.418,3.125
14,-0.756,-5.208
15,-1.094,-1.042
16,-1.432,3.125
17,-1.769,-5.208
18,-2.109,-1.042
19,-2.446,3.125
20,-2.781,-5.208
21,-3.121,-1.042
22,-3.456,3.125
23,-3.793,-5.208
24,-4.131,-1.042
25,-4.466,3.125
26,-4.801,-5.208
27,-5.138,-1.042
28,-5.472,3.125
29,-5.807,-5.208
30,-6.142,-1.042
31,-7.144,-1.042
32,-8.14,-1.042
33,-9.141,-1.042
34,-9.966,-1.042
35,-11.113,-1.042
36,-12.087,-1.042
37,-13.055,-1.042
38,-14.011,-1.042
39,-18.97,-1.042
40,-24.978,-1.042
